10;0.9
20;0.84
30;0.84
40;0.84
50;0.84
60;0.85
70;0.85
80;0.86
90;0.86
100;0.87
110;0.87
120;0.87
130;0.87
140;0.87
150;0.88
160;0.88
170;0.88
180;0.88
190;0.88
200;0.89
210;0.89
220;0.89
230;0.89
240;0.89
250;0.89
260;0.89
270;0.89
280;0.89
290;0.89
300;0.89
310;0.89
320;0.89
330;0.89
340;0.89
350;0.89
360;0.89
370;0.89
380;0.89
390;0.89
400;0.89
410;0.89
420;0.89
430;0.89
440;0.89
450;0.89
460;0.89
470;0.89
480;0.89
490;0.89
500;0.89
510;0.89
520;0.89
530;0.89
540;0.89
550;0.89
560;0.89
570;0.89
580;0.89
590;0.89
600;0.89
610;0.89
620;0.89
630;0.89
640;0.89
650;0.89
660;0.89
670;0.89
680;0.89
690;0.89
700;0.89
710;0.89
720;0.89
730;0.89
740;0.89
750;0.89
760;0.89
770;0.89
780;0.89
790;0.89
800;0.89
810;0.89
820;0.89
830;0.89
840;0.89
850;0.89
860;0.89
870;0.89
880;0.89
890;0.89
900;0.89
910;0.89
920;0.89
930;0.89
940;0.89
950;0.89
960;0.89
970;0.89
980;0.89
990;0.89
1000;0.9
1010;0.9
1020;0.9
1030;0.9
1040;0.9
1050;0.9
1060;0.9
1070;0.9
1080;0.9
1090;0.9
1100;0.9
1110;0.9
1120;0.9
1130;0.9
1140;0.9
1150;0.9
1160;0.9
1170;0.9
1180;0.9
1190;0.9
1200;0.9
1210;0.9
1220;0.9
1230;0.9
1240;0.9
1250;0.9
1260;0.9
1270;0.9
1280;0.9
1290;0.9
1300;0.9
1310;0.9
1320;0.9
1330;0.9
1340;0.9
1350;0.9
1360;0.9
1370;0.9
1380;0.9
1390;0.9
1400;0.9
1410;0.9
1420;0.9
1430;0.9
1440;0.9
1450;0.9
1460;0.9
1470;0.9
1480;0.9
1490;0.9
1500;0.9
